,Year,fema_declaration_string,disaster_number,state,declaration_type,declaration_date,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,disaster_closeout_date,fips,place_code,designated_area,declaration_request_number,last_ia_filing_date,hash,last_refresh,id,Death toll,Damage costUS$,Main article,Location,Notes
62725,2022,FM-5422-TX,5422.0,TX,FM,2021-12-15T19:58:00Z,Fire,North 207 Fire,0.0,0.0,1.0,1.0,2021-12-15T08:00:00Z,2021-12-19T23:59:00Z,,48065.0,99065.0,Carson (County),21127.0,,86d76c3b22ad398325dc12cad3151e24bdc9d34a,2022-04-26T19:01:16Z,61bcb4b3ca68100bde335139,,,,,
62567,2022,FM-5419-CA,5419.0,CA,FM,2021-10-13T00:46:00Z,Fire,Alisal Fire,0.0,0.0,1.0,1.0,2021-10-12T21:46:00Z,2021-11-17T23:59:00Z,,6083.0,99083.0,Santa Barbara (County),21115.0,,8b03c3a96668f5392220482186c6113439ee248f,2022-04-26T19:01:16Z,61673b33b7c535bbb16bb63a,,,,,
62660,2022,FM-5420-TX,5420.0,TX,FM,2021-12-10T18:33:00Z,Fire,County Line Fire,0.0,0.0,1.0,1.0,2021-12-10T08:00:00Z,2021-12-12T23:59:00Z,,48485.0,99485.0,Wichita (County),21124.0,,da4f2e50c1fefaee4f819861e82bf81db5c44616,2022-04-26T19:01:16Z,61b7df3cca68100bde40f1c7,,,,,
62942,2022,FM-5427-TX,5427.0,TX,FM,2022-03-17T23:46:00Z,Fire,Kidd Fire,0.0,0.0,1.0,1.0,2022-03-17T08:00:00Z,2022-03-30T23:59:00Z,,48133.0,99133.0,Eastland (County),22022.0,,a13ade50a1031c7e1473b5c3b931a5ba6cac301e,2022-04-26T19:01:16Z,6234f38ecbab24a500509c3c,,,,,
62943,2022,FM-5428-TX,5428.0,TX,FM,2022-03-18T02:56:00Z,Fire,Wheat Field Fire,0.0,0.0,1.0,1.0,2022-03-17T08:00:00Z,2022-03-30T23:59:00Z,,48133.0,99133.0,Eastland (County),22023.0,,046cd48a909dddae058aa3fac4dcaa24d9830e50,2022-04-26T19:01:16Z,6234f38ecbab24a500509c3b,,,,,
62944,2022,FM-5429-TX,5429.0,TX,FM,2022-03-20T21:25:00Z,Fire,Big L Fire,0.0,0.0,1.0,1.0,2022-03-20T08:00:00Z,2022-03-30T23:59:00Z,,48221.0,99221.0,Hood (County),22024.0,,489786783e8dd39c7d5ba04899572edb143e78b4,2022-04-26T19:01:16Z,623893b2cbab24a50042ffe5,,,,,
63007,2022,FM-5440-TX,5440.0,TX,FM,2022-05-18T23:43:00Z,Fire,Mesquite Heat Fire,0.0,0.0,1.0,1.0,2022-05-18T08:00:00Z,,,48441.0,99441.0,Taylor (County),22043.0,,4dec9fca0a581b93aee83bd2eec0033df4b186d6,2022-05-19T14:22:04Z,6286528c8311f76a9aff243c,,,,,
63006,2022,FM-5440-TX,5440.0,TX,FM,2022-05-18T23:43:00Z,Fire,Mesquite Heat Fire,0.0,0.0,1.0,0.0,2022-05-18T08:00:00Z,,,48000.0,0.0,Statewide,22043.0,,e5b7cfcdb78ddd76b07a3eb4cbd435abf5a7870c,2022-05-19T14:02:05Z,62864ddd8311f76a9afe7315,,,,,
62999,2022,FM-5439-CA,5439.0,CA,FM,2022-05-12T00:56:00Z,Fire,Coastal Fire,0.0,0.0,1.0,1.0,2022-05-11T21:45:00Z,,,6059.0,99059.0,Orange (County),22042.0,,3867f4373c1b451767f78c6e0aac17b9ed2d1b73,2022-05-12T18:22:01Z,627d504acb1b3a789cc8cefe,,,,,
61087,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48495.0,99495.0,Winkler (County),21009.0,,ccd0bb2a4c9752286547afe74d9437393763c0f6,2022-04-26T19:01:43Z,60c3b862a0ee349d710aee03,,,,,
61097,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48505.0,99505.0,Zapata (County),21009.0,,303fa6e2e88f90ed3b954fdcf8557c78dbe30fa9,2022-04-26T19:01:43Z,60c3b862a0ee349d710aedfc,,,,,
61094,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48465.0,99465.0,Val Verde (County),21009.0,,53e661ffaee263f6cee47055f72f0045ef65b2f4,2022-04-26T19:01:43Z,60c3b862a0ee349d710aed97,,,,,
61101,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48469.0,99469.0,Victoria (County),21009.0,,3e911e8bf90515a7d9a3657a0443cc1fbd2baca3,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeda3,,,,,
61100,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48497.0,99497.0,Wise (County),21009.0,,b051ae87ad7006482ccec25b097ba95c02690cea,2022-04-26T19:01:43Z,60c3b862a0ee349d710aedee,,,,,
