Year,incident_type,Death toll,Damage costUS$,Main article,state,Notes
2021,Wildfire,2,2300000000,2021 Kansas wildfire outbreak,KS,"On December 15, 2021, a wildfire siege began in Western and Central Kansas due to blustering winds and drought. More than 10 wildfires were reported with an estimated burned area of more than 163,000+ acres. The wildfire outbreak resulted in the deaths of two individuals and the injuries of 3 others. More than 42 structures were destroyed during the outbreak, mainly in the cities of Paradise and Waldo.[1][2]"
2021,Tornado,90,3900000000,"Tornado outbreak of December 10–11, 2021",KY,"A rare late-season tornado outbreak devastated states across the mid-south midwest, causing widespread damage and fatalities. Kentucky was particularly hard hit, with 75 fatalities occurring in the state. There were also 3 non-tornadic fatalities.[3][4]"
2021,Hurricane,115,65250000000,Hurricane Ida,LA,"After causing widespread destruction along the Gulf Coast, (specifically Louisiana), Ida moved north, spawned a destructive tornado outbreak, and caused massive flooding in many Northeastern states such as New York, New Jersey and Pennsylvania. Ida is now the sixth-costliest tropical cyclone on record.[5]"
2021,Hurricane,115,65250000000,Hurricane Ida,MS,"After causing widespread destruction along the Gulf Coast, (specifically Louisiana), Ida moved north, spawned a destructive tornado outbreak, and caused massive flooding in many Northeastern states such as New York, New Jersey and Pennsylvania. Ida is now the sixth-costliest tropical cyclone on record.[5]"
2021,Hurricane,115,65250000000,Hurricane Ida,AL,"After causing widespread destruction along the Gulf Coast, (specifically Louisiana), Ida moved north, spawned a destructive tornado outbreak, and caused massive flooding in many Northeastern states such as New York, New Jersey and Pennsylvania. Ida is now the sixth-costliest tropical cyclone on record.[5]"
2021,Hurricane,115,65250000000,Hurricane Ida,PA,"After causing widespread destruction along the Gulf Coast, (specifically Louisiana), Ida moved north, spawned a destructive tornado outbreak, and caused massive flooding in many Northeastern states such as New York, New Jersey and Pennsylvania. Ida is now the sixth-costliest tropical cyclone on record.[5]"
2021,Hurricane,115,65250000000,Hurricane Ida,NJ,"After causing widespread destruction along the Gulf Coast, (specifically Louisiana), Ida moved north, spawned a destructive tornado outbreak, and caused massive flooding in many Northeastern states such as New York, New Jersey and Pennsylvania. Ida is now the sixth-costliest tropical cyclone on record.[5]"
2021,Hurricane,115,65250000000,Hurricane Ida,NY,"After causing widespread destruction along the Gulf Coast, (specifically Louisiana), Ida moved north, spawned a destructive tornado outbreak, and caused massive flooding in many Northeastern states such as New York, New Jersey and Pennsylvania. Ida is now the sixth-costliest tropical cyclone on record.[5]"
2021,Winter storm,237,1.965E+11,"February 13–17, 2021 North American winter storm",TX,"While the storm was widespread across the U.S., Mexico, and parts of Canada, the worst was in Texas, causing the 2021 Texas power crisis, as the energy infrastructure was unprepared for the freezing temperatures. 237 deaths (as of July 14, 2021), including 223 in the United States and 14 in Mexico.[7][8][9][10]"
2020,Wildfire,47,19884000000,2020 Western United States wildfire season,CA,One of the most destructive wildfire seasons recorded in the Western United States.[11][12]
2020,Wildfire,31,12079000000,2020 California wildfires,CA,The largest and the third-most destructive wildfire season on record in California.[13][12]
2020,Hurricane,331,7900000000,Hurricane Eta,TX,"Long-lived tropical cyclone that made four landfalls. Caused significant amounts of destruction, especially in Central America.[15][11]"
2020,Hurricane,8,3600000000,Hurricane Zeta,TX,[11][16]
2020,Hurricane,6,3086000000,Hurricane Delta,TX,[11][16]
2020,Hurricane,8,7300000000,Hurricane Sally,TX,"Sally did not have its name retired, making it the costliest tropical cyclone on record in the North Atlantic that did not have its name retired.[11][17][18]"
2020,Hurricane,77,19100000000,Hurricane Laura,TX,"Tied with the 1856 Last Island hurricane as the strongest hurricane to make landfall in the state of Louisiana, in terms of maximum sustained winds.[11][15]"
2020,Hurricane,18,4725000000,Hurricane Isaias,NY,"Caused the worst tropical cyclone-spawned tornado outbreak since Hurricane Rita in 2005.[19][11][20] Isaias did not have its name retired following the season, making Isaias the third-costliest Atlantic hurricane that didn't have its name retired.[21][17][18]"
2020,Hurricane,9,1200000000,Hurricane Hanna,TX,[11]
2019,Tropical storm,7,5000000000,Tropical Storm Imelda,TX,"The fifth-wettest tropical cyclone recorded in the Contiguous United States.[22] Imelda's name was not retired, making it the second-costliest Atlantic tropical cyclone name on record to not be retired.[17][23][24]"
2019,Earthquake,1,5300000000,2019 Ridgecrest earthquakes,CA,"Three earthquakes struck California between July 4 and July 5. The main earthquake was a 7.1 magnitude, as two others were 5.4 and 6.4 magnitudes. At least one was killed and several others were injured. The main earthquake was the strongest earthquake to hit the region in 20 years.[25]"
2019,Hurricane,329,5100000000,Hurricane Dorian,SC,The costliest tropical cyclone recorded in the Bahamas. The storm stalled over Grand Bahama for a day.[26]
2018,Wildfire,97,26347000000,2018 California wildfires,CA,The deadliest and most destructive wildfire season on record in California.[27][28][29][30][31]
2018,Wildfire,85,16500000000,Camp Fire,CA,"The worst fire in California history destroyed more than 18,000 structures in Northern California. It was fueled by large dry national forests and was started by electrical transmission lines."
2018,Hurricane,74,25500000000,Hurricane Michael,FL,The third-most intense landfalling tropical cyclone recorded in the United States.[32]
2018,Hurricane,54,24230000000,Hurricane Florence,NC,Wettest tropical cyclone recorded in the Carolinas.[33]
2018,Hurricane,1,250000000,Hurricane Lane,HI,Wettest tropical cyclone recorded in Hawaii.[34]
2017,Wildfire,47,18000000000,2017 California wildfires,CA,The second-most destructive wildfire season on record in California (behind only 2018).[35][36]
2017,Wildfire,0,15000000,Goodwin Fire,AZ,"Started in the Bradshaw Mountains near Mayer, Arizona. The fire caused the Yavapai County Sheriff's Office and the Mayer Fire Department to close parts of Highway 69 between Mayer and Dewey-Humboldt. 100+ people had to be evacuated from Mayer and other close communities outside of Mayer also had to be evacuated such as Spring Valley and Cordes Lakes. The fire started on June 24, 2017 and it reached 100% containment on July 10.[37] 5 homes were destroyed and 2 others were damaged.[38]"
2017,Hurricane,3059,91619000000,Hurricane Maria,FL,"Maria struck Puerto Rico as a high-end Category 4 hurricane, causing catastrophic damage to the US island due to extremely powerful winds and devastating floods. The hurricane also knocked out the entire power grid, triggering a near total island blackout. The lack of aid after the disaster caused a humanitarian crisis, the worst in the US since Hurricane Katrina, which lasted several months and had a dramatic effect on Puerto Rico's population."
2017,Hurricane,134,77160000000,Hurricane Irma,FL,"Irma ravaged the northern Leeward Islands as an extremely powerful Category 5 hurricane before making landfall in the Florida Keys as a Category 4 hurricane, and in the mainland as a Category 3 hurricane. Irma caused widespread damage in Florida due to high winds and destructive floods. The Florida Keys were hit the hardest, with the vast majority of infrastructure there receiving some degree of damage, and at least 25% receiving major damage. Hurricane Irma also knocked out power to 73% of the state, or 7.7 million homes and businesses."
2017,Hurricane and Flood,107,1.25E+11,Hurricane Harvey,TX,"Harvey made landfall in Southwestern Texas as a Category 4 hurricane. Most of the damage from Harvey occurred after it had weakened, due to extreme prolonged rains dropping several feet of water that triggered unprecedented floods in a large swath of Southeastern Texas, with the worst of the flooding occurring in Houston."
2017,Winter storm and flood,5,1550000000,2017 California floods,CA,"Caused by a series of storms that led to California's wettest rainy season on record, in modern history.[39][40][41]"
2017,Flood,10,,2017 Payson flash floods,AZ,"One of the deadliest floods to ever hit Gila County, Arizona"
2016,Wildfire,14,990000000,2016 Great Smoky Mountains wildfires,TN,"Destroyed nearly 2,000 structures; burned nearly 18,000 acres."
2016,Hurricane,49,15090000000,Hurricane Matthew,FL,
2016,Flood,13,,2016 Louisiana floods,LA,
2016,Flood,23,,2016 West Virginia flood,WV,
2016,Blizzard,55,3000000000,January 2016 United States blizzard,SC,Snowfall totals in excess of two feet (61 cm)
2015,Flood,25,2000000000,October 2015 North American storm complex,SC,Channeled moisture from Hurricane Joaquin into the Mid-Atlantic states. Caused the worst flooding recorded in the Carolinas prior to Hurricane Florence in 2018.[11]
2015,Flood,20,,2015 Utah floods,UT,
2015,Wildfire,3,8000000000,Okanogan Complex fire,WA,Damage figure includes costs involved in the fighting of the fire.
2015,Flood,46,,2015 Texas–Oklahoma floods,TX,
2014,Snow storm,24,,November 2014 North American winter storm,NY,
