Year,Disaster,Death toll,Damage costUS$,Main article,Location,Notes
2021,Wildfire,2,$2.3 million,2021 Kansas wildfire outbreak,Kansas,"On December 15, 2021, a wildfire siege began in Western and Central Kansas due to blustering winds and drought. More than 10 wildfires were reported with an estimated burned area of more than 163,000+ acres. The wildfire outbreak resulted in the deaths of two individuals and the injuries of 3 others. More than 42 structures were destroyed during the outbreak, mainly in the cities of Paradise and Waldo.[1][2]"
2021,Tornado,90,$3.9 billion,"Tornado outbreak of December 10–11, 2021","Kentucky, Illinois, Tennessee, Missouri, Arkansas","A rare late-season tornado outbreak devastated states across the mid-south midwest, causing widespread damage and fatalities. Kentucky was particularly hard hit, with 75 fatalities occurring in the state. There were also 3 non-tornadic fatalities.[3][4]"
2021,Hurricane,115,$65.25 billion,Hurricane Ida,"United States (especially in Louisiana, New Jersey, Gulf Coast of the United States, Northeastern United States), Cuba, Venezuela, Colombia, Jamaica","After causing widespread destruction along the Gulf Coast, (specifically Louisiana), Ida moved north, spawned a destructive tornado outbreak, and caused massive flooding in many Northeastern states such as New York, New Jersey and Pennsylvania. Ida is now the sixth-costliest tropical cyclone on record.[5]"
2021,Winter storm,237,≥ $196.5 billion[6][5],"February 13–17, 2021 North American winter storm","United States (especially in Texas, northern Mexico)","While the storm was widespread across the U.S., Mexico, and parts of Canada, the worst was in Texas, causing the 2021 Texas power crisis, as the energy infrastructure was unprepared for the freezing temperatures. 237 deaths (as of July 14, 2021), including 223 in the United States and 14 in Mexico.[7][8][9][10]"
2020,Wildfire,47,≥$19.884 billion,2020 Western United States wildfire season,Western United States,One of the most destructive wildfire seasons recorded in the Western United States.[11][12]
2020,Wildfire,31,≥$12.079 billion,2020 California wildfires,California,The largest and the third-most destructive wildfire season on record in California.[13][12]
2020,Derecho,4,$11 billion,August 2020 Midwest derecho,Midwestern United States,"The severe derecho affected the states of Iowa, Illinois, Nebraska, Indiana, and Wisconsin. The derecho caused high winds and spawned an outbreak of a couple tornadoes. The derecho also caused the state of Iowa to lose approximately 550,000 acres of corn harvest. The highest winds recorded from the derecho was about 140 mph in Cedar Rapids, Iowa.[14]"
2020,Hurricane,"≥211 killed, 120 missing",$7.9 billion,Hurricane Eta,"Colombia, Jamaica, Central America, Cayman Islands, Cuba, The Bahamas, Southeastern United States","Long-lived tropical cyclone that made four landfalls. Caused significant amounts of destruction, especially in Central America.[15][11]"
2020,Hurricane,8,$3.6 billion,Hurricane Zeta,"Cayman Islands, Jamaica, Central America, Yucatán Peninsula, Gulf Coast of the United States, Southeastern United States, Mid-Atlantic, New England, Ireland, United Kingdom",[11][16]
2020,Hurricane,6,$3.086 billion,Hurricane Delta,"Jamaica, Nicaragua, Cayman Islands, Yucatán Peninsula, Gulf Coast of the United States, Southeastern United States, Northeastern United States",[11][16]
2020,Hurricane,8,$7.3 billion,Hurricane Sally,"The Bahamas, Cuba, U.S. Gulf Coast, Southeastern United States, Norway","Sally did not have its name retired, making it the costliest tropical cyclone on record in the North Atlantic that did not have its name retired.[11][17][18]"
2020,Hurricane,77,$19.1 billion,Hurricane Laura,"Lesser Antilles, Greater Antilles, The Bahamas, Gulf Coast of the United States, Midwestern United States, Eastern United States","Tied with the 1856 Last Island hurricane as the strongest hurricane to make landfall in the state of Louisiana, in terms of maximum sustained winds.[11][15]"
2020,Hurricane,18,$4.725 billion,Hurricane Isaias,"West Africa, Lesser Antilles, Greater Antilles, The Bahamas, East Coast of the United States, Eastern Canada","Caused the worst tropical cyclone-spawned tornado outbreak since Hurricane Rita in 2005.[19][11][20] Isaias did not have its name retired following the season, making Isaias the third-costliest Atlantic hurricane that didn't have its name retired.[21][17][18]"
2020,Hurricane,9,$1.2 billion,Hurricane Hanna,"Cuba, Hispaniola, Gulf Coast (mainly Texas), Mexico",[11]
2019,Tropical storm,7,$5 billion,Tropical Storm Imelda,"Texas, Louisiana, Oklahoma, Arkansas","The fifth-wettest tropical cyclone recorded in the Contiguous United States.[22] Imelda's name was not retired, making it the second-costliest Atlantic tropical cyclone name on record to not be retired.[17][23][24]"
2019,Earthquake,"1 killed, 25 injured",$5.3 billion,2019 Ridgecrest earthquakes,"California, Nevada, Arizona","Three earthquakes struck California between July 4 and July 5. The main earthquake was a 7.1 magnitude, as two others were 5.4 and 6.4 magnitudes. At least one was killed and several others were injured. The main earthquake was the strongest earthquake to hit the region in 20 years.[25]"
2019,Hurricane,"84 killed, 245 missing",$5.1 billion,Hurricane Dorian,"Lesser Antilles, Puerto Rico, The Bahamas (especially the Abaco Islands and Grand Bahama), Eastern United States (especially Florida, Georgia, South Carolina, and North Carolina), Eastern Canada",The costliest tropical cyclone recorded in the Bahamas. The storm stalled over Grand Bahama for a day.[26]
2018,Wildfire,97,≥$26.347 billion,2018 California wildfires,California,The deadliest and most destructive wildfire season on record in California.[27][28][29][30][31]
2018,Wildfire,85,$16.5 billion,Camp Fire,California,"The worst fire in California history destroyed more than 18,000 structures in Northern California. It was fueled by large dry national forests and was started by electrical transmission lines."
2018,Hurricane,74,$25.5 billion,Hurricane Michael,"Central America, Yucatán Peninsula, Cayman Islands, Cuba, Southeastern United States (especially the Florida Panhandle and Georgia), Eastern United States, Eastern Canada, Iberian Peninsula",The third-most intense landfalling tropical cyclone recorded in the United States.[32]
2018,Hurricane,54,$24.23 billion,Hurricane Florence,"West Africa, Cape Verde, Bermuda, East Coast of the United States (especially the Carolinas), Atlantic Canada",Wettest tropical cyclone recorded in the Carolinas.[33]
2018,Hurricane,1,>$250 million,Hurricane Lane,Hawaii,Wettest tropical cyclone recorded in Hawaii.[34]
2017,Wildfire,47,≥$18 billion,2017 California wildfires,California,The second-most destructive wildfire season on record in California (behind only 2018).[35][36]
2017,Wildfire,0,$15 million,Goodwin Fire,Arizona,"Started in the Bradshaw Mountains near Mayer, Arizona. The fire caused the Yavapai County Sheriff's Office and the Mayer Fire Department to close parts of Highway 69 between Mayer and Dewey-Humboldt. 100+ people had to be evacuated from Mayer and other close communities outside of Mayer also had to be evacuated such as Spring Valley and Cordes Lakes. The fire started on June 24, 2017 and it reached 100% containment on July 10.[37] 5 homes were destroyed and 2 others were damaged.[38]"
2017,Hurricane,"3,059",$91.619 billion,Hurricane Maria,Florida and Puerto Rico,"Maria struck Puerto Rico as a high-end Category 4 hurricane, causing catastrophic damage to the US island due to extremely powerful winds and devastating floods. The hurricane also knocked out the entire power grid, triggering a near total island blackout. The lack of aid after the disaster caused a humanitarian crisis, the worst in the US since Hurricane Katrina, which lasted several months and had a dramatic effect on Puerto Rico's population."
